Variable,Table,Key,Dataset,MMRF Variable Name,Description,HIPAA or Other Identified Data,Data Type,MMRF Values,CoMMpass Note,caDSR,Data Standard,CoMMpass Source Table Variable,CoMMpass Subcohort,Additional Information,Constraint,GDC Variable,GDC Values,GDC Required,,
40,sample_features,no,commpass,flowcyt_cd81_detected,Flow cytometry antigen profile: CD81 Detected. Data sourced from processing lab lims system.,no,string,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
41,sample_features,no,commpass,flowcyt_cd81_plasma_cells_percent,Flow cytometry antigen profile: CD81 Percent plasma cells. Data sourced from processing lab lims system.,no,numeric,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
42,sample_features,no,commpass,flowcyt_cd117_detected,Flow cytometry antigen profile: CD117 Detected. Data sourced from processing lab lims system.,no,string,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
43,sample_features,no,commpass,flowcyt_cd117_plasma_cells_percent,Flow cytometry antigen profile: CD117 Percent plasma cells. Data sourced from processing lab lims system.,no,numeric,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
44,sample_features,no,commpass,flowcyt_cd319_detected,Flow cytometry antigen profile: CD319 Detected. Data sourced from processing lab lims system.,no,string,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
45,sample_features,no,commpass,flowcyt_cd319_plasma_cells_percent,Flow cytometry antigen profile: CD319 Percent plasma cells. Data sourced from processing lab lims system.,no,numeric,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
46,sample_features,no,commpass,flowcyt_fgfr3_char,Flow cytometry antigen profile: FGFR3 (character). Data sourced from processing lab lims system.,no,string,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
47,sample_features,no,commpass,flowcyt_fgfr3_plasma_cells_percent,Flow cytometry antigen profile: FGFR3 Percent plasma cells. Data sourced from processing lab lims system.,no,numeric,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
48,sample_features,no,commpass,flowcyt_light_ chain,Flow cytometry antigen profile: immunoglobulin light chain. Data sourced from processing lab lims system.,no,string,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
49,sample_features,no,commpass,flowcyt_pct_aneuploid_population,Flow cytometry antigen profile: Percent aneuploidy population. Data sourced from processing lab lims system.,no,numeric,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
50,sample_features,no,commpass,flowcyt_dna_index,Flow cytometry antigen profile: DNA Index,no,string,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
51,sample_features,no,commpass,braf_status,BRAF Status,no,string,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
52,sample_features,no,commpass,braf_cdna_variant,BRAF CDNA Variant,no,string,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
53,sample_features,no,commpass,braf_protein_variant,Flow cytometry antigen profile: BRAF Protein Variant,no,string,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
1,sample_cmmc,primary,commpass,cmmc_id,Unique id for sample_cmmc table,no,string,example: mmrf_1007-mmrf_commpass-cmmc1,"The id is a composite primary key of public_id, project_id, and sample count.",not applicable,not applicable,,derived,"one,two",,,not_applicable,not_applicable,not_applicable,
2,sample_cmmc,foreign,commpass,public_id,MMRF subject identifier,no,string,example: mmrf_0001,"in the format: ""mmrf_"" followed by a four digit integer. Example: mmrf_0001",not applicable,not applicable,,Subcohorts One and Two: Table: D_PT.csv variable: subject_id,"one,two","MMRF created for this dataset 
",,not_applicable,not_applicable,not_applicable,
3,sample_cmmc,foreign,commpass,project_id,The project's source name that is used as a primary key for the project table and as a foreign key for other tables.,no,string,mmrf_commpass,"The MMRF CoMMpass project will use ""mmrf_commpass"" to designate the project.",not applicable,not applicable,,applied,"one, two","MMRF created for this dataset 
",,not_applicable,not_applicable,not_applicable,
4,sample_cmmc,no,commpass,study_visit,Harmonized study visit designation across subcohorts. This variable aligns with the followup table.,no,enum,see follow-up details tab,"Subcohort=""one"", MMRF CoMMpass project, defined subject study visits numbered in months following the baseline visit. It is important to note that the study visit label will not always conform to its actual visit timing, meaning that the 3-month visit may not be timed precisely at 3 months following the baseline visit.",not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
5,sample_cmmc,no,commpass,days_to_cmmc_procurement,The number of days to the date that the peripheral blood sample was collected from the subject from the the index date.,no,integer,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
6,sample_features,no,commpass,cmmc_visit_name,The visit intention during which the circulating multiple myeloma cells sample was drawn. ,no,enum,,,not_applicable,Supplemetary Table S1,,,"one,two",,,not_applicable,not_applicable,not_applicable,
7,sample_features,no,commpass,cmmc_reason_for_sample,The reason stated on the CRF at the institution for the peripheral blood draw.,no,enum,,,not_applicable,Supplemetary Table S1,,,"one,two",,,not_applicable,not_applicable,not_applicable,
8,sample_features,no,commpass,cmmc_number,The number of circulating multiple myeloma cells found in the sample (4 ml).,no,numeric,,,not_applicable,Supplemetary Table S1,,,"one,two",,,not_applicable,not_applicable,not_applicable,
1,other_clinical_attributes,primary,commpass,clinical_id,Unique identifier for followup table.,no,string,example: mmrf_1011-mmrf_commpass-ca1,"This is a composite primary key based on a combination of public_id, project_id, and event count.",not applicable,not applicable,derived,one,,,,,not applicable,,
2,other_clinical_attributes,foreign,commpass,public_id,MMRF subject identifier,no,string,example: mmrf_0001,"in the format: ""mmrf_"" followed by a four digit integer. Example: mmrf_0001",not applicable,not applicable,Subcohort One: Tables: MEDHX_MCG-IA16.csv; ADMISSIONS-IA16.csv; EMERGENCY_DEPT-IA16.csv |Variable: public_id,one,,,submitter_id,not applicable,yes,,
3,other_clinical_attributes,foreign,commpass,project_id,The project's source name that is used as a primary key for the project table and as a foreign key for other tables.,no,string,mmrf_commpass,"The MMRF CoMMpass project will use ""mmrf_commpass"" to designate the project.",not applicable,not applicable,applied,one,"MMRF created for this dataset 
",,project_id,not applicable,no,,
4,other_clinical_attributes,no,commpass,study_visit,Harmonized study visit designation across subcohort.,no,string,,"Subcohort=""one"", MMRF CoMMpass project, defined subject study visits numbered in months following the baseline visit. It is important to note that the study visit label will not always conform to its actual visit timing, meaning that the 3-month visit may not be timed precisely at 3 months following the baseline visit.",not applicable,not applicable,Subcohort One: Tables: MEDHX_MCG-IA16.csv; ADMISSIONS-IA16.csv; EMERGENCY_DEPT-IA16.csv |Variable: VJ_INTERVAL,one,,,not applicable,not applicable,not applicable,,
5,other_clinical_attributes,no,commpass,timepoint_category,Indicator describing when the event occurred in relationship to the study.,no,enum,"intial_diagnosis
followup","For the CoMMpass study two options of the values are used; however, other options are available. Please see the other_clinical_details tab.",,,Subcohort One: Tables: MEDHX_MCG-IA16.csv; ADMISSIONS-IA16.csv; EMERGENCY_DEPT-IA16.csv |Variable: VJ_INTERVAL,one,,,timepoint_category,no,,,
6,other_clinical_attributes,no,commpass,clinical_event_diagnosis,The medical diagnosis reported by the subject at a study visit. The baseline visit collected information on the subject's medical history prior to the study. Subsequent visits collected information on resource use that included hospitalizations and emergency department (ED) visits.,no,string,see the other_clinical_details tab,,C68568,NCI-t,,one,,,not applicable,not applicable,not applicable,,
7,other_clinical_attributes,no,commpass,nci_comorbidty_item,"Relevant for patient's medical history at initial diagnosis, so data should be filtered for timepoint_category=initial_diagnosis to identify rows for comorbidity analysis. MMRF uses the current NCI version of the Charlson Comorbidity index that creates an idex for non-cancer disease diagnoses [https://healthcaredelivery.cancer.gov/seermedicare/considerations/comorbidity.html]. ",no,enum,"chd [congestive heart failure]
copd (chronic obstructive pulmonary disease]
cva [cerebrovascular disease]
diabetes
dmendorgan [diabetes with complications]
dementia
mi [myocardial infarction]
mildliver [mild liver]
paralysis [hemiplegia, paraplegia]
peptic [peptic ulcer disease]
pvd [peripheral vascular disease]
renal [renal disease]
rheumatic [rheumatic disease]
aids","Using the NCI Comorbidity index, the clinical events were sorted into the index categories. Of note, very few patients had clinical_events that were associated with the Comorbidity Index.",,NCI,Derived based on clinical_event_diagnosis based on https://healthcaredelivery.cancer.gov/seermedicare/considerations/comorbidity-table.html,one,,,not applicable,not applicable,not applicable,,
8,other_clinical_attributes,no,commpass,clinical_event_type,"The medical event during which the clinical diagnosis was made. The ""med_hx"" diagnoses/events were collected at the baseline of the study. The ""ed"" diagnoses were made during a visit to the emergency department. The ""hosp_admission"" diagnoses were made at the time of a hospital admission.",no,enum,"ed
hosp_admission
med_hx","Flag indicating the source of the clinical event. med_hx is assessed at baseline, and the event could have occurred at any point prior to the index_date. ed and hosp_admission are events that occur on or after the index_date; these events relate to either hospital admission [hosp_admission] or emergency room visit [ed]. These events will have overlap.",,,applied based on source table,one,,,not applicable,not applicable,not applicable,,
1,qol,primary,commpass,qol_id,Unique identifier for the qol table.,no,string,example: mmrf_1021-mmrf_commpass-qol3,"This is a composite primary key based on a combination of public_id, project_id, and instance.",not applicable,not applicable,derived,one,,,not applicable,not applicable,not applicable,,
2,qol,foreign,commpass,public_id,MMRF subject identifier,no,string,example: mmrf_0001,"in the format: ""mmrf_"" followed by a four digit integer. Example: mmrf_0001",not applicable,not applicable,Subcohort One: Table Subcohort One: Table D_QOL.csv| Variable: public_id,one,,,submitter_id,not applicable,yes,,
3,qol,foreign,commpass,project_id,The project's source name that is used as a primary key for the project table and as a foreign key for other tables.,no,string,mmrf_commpass,"The MMRF CoMMpass project will use ""mmrf_commpass"" to designate the project.",not applicable,not applicable,applied,one,"MMRF created for this dataset 
",,project_id,not applicable,no,,
4,qol,no,commpass,study_visit,Harmonized study visit designation across subcohort.,no,string,,"Subcohort=""one"", MMRF CoMMpass project, defined subject study visits numbered in months following the baseline visit. It is important to note that the study visit label will not always conform to its actual visit timing, meaning that the 3-month visit may not be timed precisely at 3 months following the baseline visit.",not applicable,not applicable,Subcohort One: Table Subcohort One: Table D_QOL.csv| Variable: VJ_INTERVAL,one,,,not applicable,not applicable,not applicable,,
5,qol,no,commpass,days_to_study_administration,The number of days from the index_date to the subject's survey administration date.,no,integer,,,,,Subcohort One: Table Subcohort One: Table D_QOL.csv| Variable: VJ_INTERVAL,,,,,,,,
5,qol,no,commpass,year_of_survey_administration,"Year component of the subject's survey administration date. In a de-identified dataset, this variable will help with sequencing events. ",no,integer,,,not applicable,not applicable,,one,,,not applicable,not applicable,not applicable,,
7,qol,no,commpass,qlq_c30_administration,Flag indicating that the subject initiated the QLQ-30 Quality of Life survey.,no,boolean,"yes
no",,not applicable,not applicable,,one,,,not applicable,not applicable,not applicable,,
8,qol,no,commpass,qlq_c30_completion,Flag indicating that the subject completed the QLQ-30 Quality of Life survey or had some missing items.,no,enum,"missing_items
-null-",,not applicable,not applicable,,one,,,not applicable,not applicable,not applicable,,
9,qol,no,commpass,qlq_c30_1,Item from the physical functioning scale of the QLQ-30 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing","Survey Question: Do you have any trouble doing strenuous activities, like carrying a heavy shopping bag or a suitcase?",not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table Subcohort One: Table D_QOL.csv Q1,one,,,not applicable,not applicable,not applicable,,
10,qol,no,commpass,qlq_c30_2,Item from the physical functioning scale of the QLQ-30 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Do you have any trouble taking a long walk?,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table Subcohort One: Table D_QOL.csv Q2,one,,,not applicable,not applicable,not applicable,,
11,qol,no,commpass,qlq_c30_3,Item from the physical functioning scale of the QLQ-30 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Survey Question: Do you have any trouble taking a short walk outside of the house?,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table Subcohort One: Table D_QOL.csv Q3,one,,,not applicable,not applicable,not applicable,,
12,qol,no,commpass,qlq_c30_4,Item from the physical functioning scale of the QLQ-30 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Do you need to stay in bed or a chair during the day?,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table Subcohort One: Table D_QOL.csv Q4,one,,,not applicable,not applicable,not applicable,,
13,qol,no,commpass,qlq_c30_5,Item from the physical functioning scale of the QLQ-30 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing","Survey Question: Do you need help with eating, dressing, washing yourself or using the toilet?",not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv Q5,one,,,not applicable,not applicable,not applicable,,
14,qol,no,commpass,qlq_c30_6,Item from the role functioning scale of the QLQ-30 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Were you limited in doing either your work or other daily activities?,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv Q6,one,,,not applicable,not applicable,not applicable,,
15,qol,no,commpass,qlq_c30_7,Item from the role functioning scale of the QLQ-30 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Were you limited in pursuing your hobbies or other leisure time activities?,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv Q7,one,,,not applicable,not applicable,not applicable,,
16,qol,no,commpass,qlq_c30_8,Item the dyspnea item of the QLQ-30 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Were you short of breath?,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv Q8,one,,,not applicable,not applicable,not applicable,,
17,qol,no,commpass,qlq_c30_9,Item from the pain symptom scale of the QLQ-30 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Have you had pain?,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv Q9,one,,,not applicable,not applicable,not applicable,,
18,qol,no,commpass,qlq_c30_10,Item from the fatigue symptom scale of the QLQ-30 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Did you need to rest?,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv Q10,one,,,not applicable,not applicable,not applicable,,
19,qol,no,commpass,qlq_c30_11,Item the insomnia item of the QLQ-30 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Have you had trouble sleeping?,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv Q11,one,,,not applicable,not applicable,not applicable,,
20,qol,no,commpass,qlq_c30_12,Item from the fatigue symptom scale of the QLQ-30 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Have you felt weak?,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv Q12,one,,,not applicable,not applicable,not applicable,,
21,qol,no,commpass,qlq_c30_13,Item the appetite loss item of the QLQ-30 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Have you lacked appetite?,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv Q13,one,,,not applicable,not applicable,not applicable,,
22,qol,no,commpass,qlq_c30_14,Item from the nausea/vomiting symptom scale of the QLQ-30 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Have you felt nauseated?,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv Q14,one,,,not applicable,not applicable,not applicable,,
23,qol,no,commpass,qlq_c30_15,Item from the nausea/vomiting symptom scale of the QLQ-30 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Have you vomited?,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv Q15,one,,,not applicable,not applicable,not applicable,,
24,qol,no,commpass,qlq_c30_16,Item the constipation item of the QLQ-30 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Have you been constipated?,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv Q16,one,,,not applicable,not applicable,not applicable,,
25,qol,no,commpass,qlq_c30_17,Item the diarrhea item of the QLQ-30 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Have you had diarrhea?,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv Q17,one,,,not applicable,not applicable,not applicable,,
26,qol,no,commpass,qlq_c30_18,Item from the fatigue symptom scale of the QLQ-30 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Were you tired?,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv Q18,one,,,not applicable,not applicable,not applicable,,
27,qol,no,commpass,qlq_c30_19,Item from the pain symptom scale of the QLQ-30 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Did pain interfere with your daily activities?,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv Q19,one,,,not applicable,not applicable,not applicable,,
28,qol,no,commpass,qlq_c30_20,Item from the role cognitive functioning scale of the QLQ-30 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing","Survey Question: Have you had difficulty in concentrating on things, like reading a newspaper or watching television?",not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv Q20,one,,,not applicable,not applicable,not applicable,,
29,qol,no,commpass,qlq_c30_21,Item from the role emotional functioning scale of the QLQ-30 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Did you feel tense?,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv Q21,one,,,not applicable,not applicable,not applicable,,
30,qol,no,commpass,qlq_c30_22,Item from the role emotional functioning scale of the QLQ-30 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Did you worry?,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv Q22,one,,,not applicable,not applicable,not applicable,,
31,qol,no,commpass,qlq_c30_23,Item from the role emotional functioning scale of the QLQ-30 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Did you feel irritable?,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv Q23,one,,,not applicable,not applicable,not applicable,,
32,qol,no,commpass,qlq_c30_24,Item from the role emotional functioning scale of the QLQ-30 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Did you feel depressed?,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv Q24,one,,,not applicable,not applicable,not applicable,,
33,qol,no,commpass,qlq_c30_25,Item from the role cognitive functioning scale of the QLQ-30 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Have you had difficulty remembering things?,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv Q25,one,,,not applicable,not applicable,not applicable,,
34,qol,no,commpass,qlq_c30_26,Item from the role social functioning scale of the QLQ-30 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Has your physical condition or medical treatment interfered with your family life?,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv Q26,one,,,not applicable,not applicable,not applicable,,
35,qol,no,commpass,qlq_c30_27,Item from the role social functioning scale of the QLQ-30 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Has your physical condition or medical treatment interfered with your social activities?,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv Q27,one,,,not applicable,not applicable,not applicable,,
36,qol,no,commpass,qlq_c30_28,Item the financial difficulty item of the QLQ-30 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Has your physical condition or medical treatment caused you financial difficulties?,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv Q28,one,,,not applicable,not applicable,not applicable,,
37,qol,no,commpass,qlq_c30_29,Item the Global Health status scale of the QLQ-30 Quality of Life survey administered to the patient periodically. ,no,enum,very poor=1 2 3 4 5 6 7=excellent,Survey Question: How would you rate your overall health during the past week?,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv Q29,one,,,not applicable,not applicable,not applicable,,
38,qol,no,commpass,qlq_c30_30,Item the Global Health status scale of the QLQ-30 Quality of Life survey administered to the patient periodically. ,no,enum,very poor=1 2 3 4 5 6 7=excellent,Survey Question: How would you rate your overall quality of life during the past week?,not applicable,QLQ-30 Quality of Life survey,Subcohort One: Table D_QOL.csv Q30,one,,,not applicable,not applicable,not applicable,,
39,qol,no,commpass,qlq_my20_administration,Flag indicating that the subject initiated the QLQ-MY20 Quality of Life survey.,no,boolean,"yes
no",,not applicable,QLQ-MY20 Quality of Life survey,Subcohort One: Table D_QOL.csv,one,,,not applicable,not applicable,not applicable,,
40,qol,no,commpass,qlq_my20_completion,Flag indicating that the subject completed the QLQ-MY20 Quality of Life survey or had some missing items.,no,enum,"missing_items
-null-",,not applicable,QLQ-MY20 Quality of Life survey,Subcohort One: Table D_QOL.csv,one,,,not applicable,not applicable,not applicable,,
41,qol,no,commpass,qlq_my20_1,Item from the Disease Symptoms scale of the QLQ-MY20 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Have you had bone aches or pain?,not applicable,QLQ-MY20 Quality of Life survey,Subcohort One: Table D_QOL.csv Q31,one,,,not applicable,not applicable,not applicable,,
42,qol,no,commpass,qlq_my20_2,Item from the Disease Symptoms scale of the QLQ-MY20 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Have you had pain in your back?,not applicable,QLQ-MY20 Quality of Life survey,Subcohort One: Table D_QOL.csv Q32,one,,,not applicable,not applicable,not applicable,,
43,qol,no,commpass,qlq_my20_3,Item from the Disease Symptoms scale of the QLQ-MY20 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Have you had pain in your hip?,not applicable,QLQ-MY20 Quality of Life survey,Subcohort One: Table D_QOL.csv Q33,one,,,not applicable,not applicable,not applicable,,
44,qol,no,commpass,qlq_my20_4,Item from the Disease Symptoms scale of the QLQ-MY20 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Have you had pain in your arm or shoulder?,not applicable,QLQ-MY20 Quality of Life survey,Subcohort One: Table D_QOL.csv Q34,one,,,not applicable,not applicable,not applicable,,
45,qol,no,commpass,qlq_my20_5,Item from the Disease Symptoms scale of the QLQ-MY20 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Have you had pain in your chest?,not applicable,QLQ-MY20 Quality of Life survey,Subcohort One: Table D_QOL.csv Q35,one,,,not applicable,not applicable,not applicable,,
46,qol,no,commpass,qlq_my20_6,Item from the Disease Symptoms scale of the QLQ-MY20 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: If you had pain did it increase with activity?,not applicable,QLQ-MY20 Quality of Life survey,Subcohort One: Table D_QOL.csv Q36,one,,,not applicable,not applicable,not applicable,,
47,qol,no,commpass,qlq_my20_7,Item from the Side Effects scale of the QLQ-MY20 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Did you feel drowsy?,not applicable,QLQ-MY20 Quality of Life survey,Subcohort One: Table D_QOL.csv Q37,one,,,not applicable,not applicable,not applicable,,
48,qol,no,commpass,qlq_my20_8,Item from the Side Effects scale of the QLQ-MY20 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Did you feel thirsty?,not applicable,QLQ-MY20 Quality of Life survey,Subcohort One: Table D_QOL.csv Q38,one,,,not applicable,not applicable,not applicable,,
49,qol,no,commpass,qlq_my20_9,Item from the Side Effects scale of the QLQ-MY20 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Have you felt ill?,not applicable,QLQ-MY20 Quality of Life survey,Subcohort One: Table D_QOL.csv Q39,one,,,not applicable,not applicable,not applicable,,
50,qol,no,commpass,qlq_my20_10,Item from the Side Effects scale of the QLQ-MY20 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Have you had a dry mouth?,not applicable,QLQ-MY20 Quality of Life survey,Subcohort One: Table D_QOL.csv Q40,one,,,not applicable,not applicable,not applicable,,
51,qol,no,commpass,qlq_my20_11,Item from the Side Effects scale of the QLQ-MY20 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Have you lost any hair?,not applicable,QLQ-MY20 Quality of Life survey,Subcohort One: Table D_QOL.csv Q41,one,,,not applicable,not applicable,not applicable,,
52,qol,no,commpass,qlq_my20_12,Item from the Side Effects scale of the QLQ-MY20 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Answer this question only if you lost any hair: Were you upset by the loss of your hair?,not applicable,QLQ-MY20 Quality of Life survey,Subcohort One: Table D_QOL.csv Q42,one,,,not applicable,not applicable,not applicable,,
53,qol,no,commpass,qlq_my20_13,Item from the Side Effects scale of the QLQ-MY20 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Did you have tingling hands or feet?,not applicable,QLQ-MY20 Quality of Life survey,Subcohort One: Table D_QOL.csv Q43,one,,,not applicable,not applicable,not applicable,,
54,qol,no,commpass,qlq_my20_14,Item from the Side Effects scale of the QLQ-MY20 Quality of Life survey administered to the patient periodically. ,no,enum,"1=not at all, 2=a little, 3=quite a bit, 4=very much, missing",Survey Question: Did you feel restless or agitated?,not applicable,QLQ-MY20 Quality of Life survey,Subcohort One: Table D_QOL.csv Q44,one,,,not applicable,not applicable,not applicable,,
